# sample; mag1 in nT; mag2 in nT; grad in nT
7429152;43673.11827756597631;43689.22449798206799;-16.10622041609474
7429153;43675.15646690351423;43692.63113888225780;-17.47467197875141
7429154;43677.90881658632134;43694.03047972723289;-16.12166314091487
7429155;43675.85647389533551;43693.34214888596034;-17.48567499062845
7429156;43674.43327248850983;43690.53996582136460;-16.10669333285325
7429157;43669.75611351704720;43687.20758265904442;-17.45146914200214
7429158;43674.37821911188075;43690.46878909814404;-16.09056998626176
7429159;43673.47790562893351;43690.94326634185563;-17.46536071292318
7429160;43673.30262949469761;43689.37590888032719;-16.07327938563068
7429161;43671.36054962618800;43688.82867861021077;-17.46812898402149
7429162;43669.22252905857749;43685.30156246722618;-16.07903340864067
7429163;43666.36831697629532;43683.79501571821311;-17.42669874192626
7429164;43664.92741329601995;43680.97609572981310;-16.04868243379618
7429165;43665.33778632782196;43682.75683155628212;-17.41904522846030
7429166;43668.04016888878687;43684.13395375081018;-16.09378486202617
7429167;43671.13006687306188;43688.58774880811688;-17.45768193505820
7429168;43667.72010904144554;43683.80723034700350;-16.08712130555551
7429169;43667.50931975708954;43684.95167791230051;-17.44235815521830
7429170;43668.94713916423643;43685.04180943305983;-16.09467026882674
7429171;43669.65648232828244;43687.11003429786069;-17.45355196956913
7429172;43673.26562818330422;43689.34896260222740;-16.08333441892478
7429173;43675.30499750441959;43692.78839590716962;-17.48339840275011
7429174;43678.18712154909736;43694.29675508998480;-16.10963354088327
7429175;43676.73815883228963;43694.17397897638875;-17.43582014409659
7429176;43675.18185921156692;43691.24293192607729;-16.06107271450822
7429177;43670.39126739656786;43687.81486858367134;-17.42360118710467
7429178;43674.87086174291471;43690.94805773266125;-16.07719598974024
7429179;43674.42679030219006;43691.83013461517112;-17.40334431298601
7429180;43673.78231931589835;43689.83190406554058;-16.04958474963953
7429181;43671.21192731011979;43688.65771227876394;-17.44578496864253
7429182;43668.38293568247173;43684.47146680511651;-16.08853112264062
7429183;43664.94989254551183;43682.37636203919828;-17.42646949368848
7429184;43663.07643417223153;43679.16192732657510;-16.08549315434500
7429185;43663.07153217980522;43680.47211365991097;-17.40058148010937
7429186;43665.24429604393663;43681.33929096275824;-16.09499491882289
7429187;43668.10292515395849;43685.51897679109243;-17.41605163714087
7429188;43664.52081057266332;43680.59868989765528;-16.07787932499270
7429189;43664.42827687411045;43681.86314030970243;-17.43486343559784
7429190;43666.16053572201054;43682.22323858588061;-16.06270286387242
7429191;43667.12058980065194;43684.57590803463245;-17.45531823397742
7429192;43671.09663644192187;43687.19461170495197;-16.09797526302365
7429193;43673.68107503350620;43691.16387051077618;-17.48279547727173
7429194;43677.20007178586093;43693.31206913931237;-16.11199735345036
7429195;43675.77167962857493;43693.26497189722431;-17.49329226865344
7429196;43675.19410195530509;43691.29648460108729;-16.10238264578195
7429197;43670.82474017199274;43688.28240017614007;-17.45766000414709
7429198;43675.62091388359113;43691.70127024457906;-16.08035636099451
7429199;43674.76617685519886;43692.22808135859668;-17.46190450339537
7429200;43674.35180489026243;43690.44559356880927;-16.09378867855260
7429201;43672.14024877060729;43689.60649382803967;-17.46624505743611
7429202;43669.53260192794551;43685.61954710762075;-16.08694517967868
7429203;43666.01821106138232;43683.46144556116633;-17.44323449978284
7429204;43664.14384298180084;43680.18602820234082;-16.04218522054116
7429205;43663.85603376281506;43681.28210978300194;-17.42607602018363
7429206;43666.18246577936952;43682.25617777126172;-16.07371199189113
7429207;43669.87535929534351;43687.26812529328163;-17.39276599793741
7429208;43665.89942322111165;43681.92907846331946;-16.02965524219954
7429209;43665.61792279846850;43683.04056269781722;-17.42263989934638
7429210;43667.03003329071362;43683.08636462093273;-16.05633133021903
7429211;43667.96139959215361;43685.39509354409529;-17.43369395193993
7429212;43672.53720165493723;43688.55812119443726;-16.02091953949040
7429213;43674.63045743327530;43692.10235702295904;-17.47189958967913
7429214;43678.08553280718479;43694.18596881051053;-16.10043600332657
7429215;43676.52979774642154;43694.02852184382209;-17.49872409739514
7429216;43675.93818764173920;43692.02832722375024;-16.09013958200964
7429217;43671.15178479288443;43688.63835494638624;-17.48657015350601
7429218;43675.97043565318017;43692.07335017855075;-16.10291452537101
7429219;43674.99554768235248;43692.47506509320374;-17.47951741084029
7429220;43674.71324338041450;43690.80270501630730;-16.08946163588988
7429221;43672.51411538750835;43689.97554247147491;-17.46142708397203
7429222;43669.80306637033209;43685.89421850564395;-16.09115213531605
7429223;43666.53075094652013;43683.96871180381277;-17.43796085729321
7429224;43664.43380030446860;43680.49075197011553;-16.05695166565876
7429225;43664.50637447870395;43681.95335471569706;-17.44698023699181
7429226;43666.40593307543168;43682.48827890666871;-16.08234583123362
7429227;43669.46574248053366;43686.91384569527872;-17.44810321474227
7429228;43665.96988737928041;43682.04477050834976;-16.07488312906907
7429229;43665.72047627063876;43683.16119985270780;-17.44072358207218
7429230;43667.29943851385178;43683.38388328134170;-16.08444476749668
7429231;43668.25533338807872;43685.70394941214181;-17.44861602406897
7429232;43672.28298271969834;43688.36321354482061;-16.08023082512869
7429233;43674.50859661096183;43692.00857560398435;-17.49997899303188
7429234;43678.02582306573458;43694.13377987875720;-16.10795681302260
7429235;43676.50704673650034;43694.00058399299451;-17.49353725649399
7429236;43676.00183076373651;43692.12994674763468;-16.12811598390136
7429237;43671.04372659781802;43688.52478282011725;-17.48105622229688
7429238;43675.64619257109007;43691.76153711510415;-16.11534454401848
7429239;43674.73521759717551;43692.20742741716094;-17.47220981998600
7429240;43674.34868231452856;43690.43532768230216;-16.08664536776412
7429241;43672.50861807194451;43689.95631422955194;-17.44769615760594
7429242;43670.31502047853428;43686.32284920460370;-16.00782872607203
7429243;43666.87400642788998;43684.28047873662581;-17.40647230873180
7429244;43664.82624880205549;43680.87207375605794;-16.04582495400651
7429245;43665.60975045072701;43682.97769562977919;-17.36794517905496
7429246;43667.17593661600404;43683.24654210879089;-16.07060549278591
7429247;43670.51894857975276;43687.94749844545731;-17.42854986571064
7429248;43666.78019940377271;43682.86297148774611;-16.08277208397638
7429249;43666.48226442620944;43683.92651024596125;-17.44424581975699
7429250;43668.05249253441434;43684.16079915604496;-16.10830662162687
7429251;43668.90934166450461;43686.36984598715208;-17.46050432264650
7429252;43672.58920649165520;43688.69102848711918;-16.10182199546759
7429253;43674.52568121773947;43692.03148286471696;-17.50580164697780
7429254;43677.85842702730588;43693.98265920389531;-16.12423217658587
7429255;43676.18081615575647;43693.68438262900600;-17.50356647325360
7429256;43675.40336774143361;43691.50242156666354;-16.09905382523364
7429257;43670.20184129758854;43687.68504398415098;-17.48320268657475
7429258;43674.81389057051274;43690.91299448846257;-16.09910391794079
7429259;43674.00216163271398;43691.46935620558361;-17.46719457287358
7429260;43673.77114770608750;43689.86919827299425;-16.09805056691353
7429261;43671.86493154845084;43689.33733471356391;-17.47240316511748
7429262;43669.62424031434057;43685.70172231056495;-16.07748199621519
7429263;43667.11349036576576;43684.53885099608306;-17.42536063032061
7429264;43665.22064842596592;43681.29000328981056;-16.06935486384876
7429265;43665.60055049262883;43683.05319260275428;-17.45264211012845
7429266;43667.53593825317512;43683.63966130642802;-16.10372305324766
7429267;43671.08763228597672;43688.55556498641818;-17.46793270042942
7429268;43667.62743869088445;43683.69941360841040;-16.07197491752499
7429269;43667.27176464931836;43684.72453140121797;-17.45276675189726
7429270;43668.72601101141481;43684.81028697478177;-16.08427596335656
7429271;43669.45745004634227;43686.90310831128591;-17.44565826494237
7429272;43673.07951517513720;43689.18397498696868;-16.10445981183183
7429273;43675.41475202930451;43692.85964829355362;-17.44489626424641
7429274;43678.79236932411004;43694.85973726072552;-16.06736793661092
7429275;43676.64585739647737;43694.13413378320547;-17.48827638672867
7429276;43676.18934300763794;43692.26488638698356;-16.07554337934808
7429277;43671.36484029968415;43688.79968568579352;-17.43484538610273
7429278;43676.21830970062001;43692.26224416418700;-16.04393446356626
7429279;43674.87841761094751;43692.33884262683569;-17.46042501589196
7429280;43674.64280400621647;43690.73465850116918;-16.09185449495376
7429281;43672.47647939888702;43689.93913043185603;-17.46265103297485
7429282;43670.03163959477388;43686.11817525053630;-16.08653565576211
7429283;43667.22143400596542;43684.67146827236138;-17.45003426639352
7429284;43665.36692417718587;43681.41587021038868;-16.04894603319764
7429285;43665.47437530239404;43682.90018894095556;-17.42581363855430
7429286;43667.66105603001779;43683.75838859078794;-16.09733256077469
7429287;43671.30801253430400;43688.75241288940015;-17.44440035510064
7429288;43667.62469295955816;43683.71345436251431;-16.08876140294489
7429289;43667.24739816853253;43684.68977442018513;-17.44237625165396
7429290;43668.71639168910770;43684.78695087164670;-16.07055918254718
7429291;43669.26040732037654;43686.71951395265205;-17.45910663228135
7429292;43672.85206526715046;43688.95021531300881;-16.09815004585692
7429293;43674.65477434063359;43692.11793054499140;-17.46315620435395
7429294;43678.08283267319348;43694.18120389763499;-16.09837122443450
7429295;43676.58602912194328;43694.07455763187318;-17.48852850992916
7429296;43676.29078171423316;43692.38213225200161;-16.09135053777914
7429297;43671.13592260894802;43688.59786918143072;-17.46194657249348
7429298;43675.79126750683645;43691.90762923296279;-16.11636172612542
7429299;43675.03351038941764;43692.49959292385756;-17.46608253444893
7429300;43674.74641593227716;43690.84231250920857;-16.09589657692925
7429301;43672.80806342739379;43690.28160126766306;-17.47353784027674
7429302;43670.40661041654676;43686.49251730457036;-16.08590688802330
7429303;43667.73740292507864;43685.15419954394747;-17.41679661886241
7429304;43665.80614425493695;43681.86779477979871;-16.06165052486028
7429305;43666.11661699227989;43683.54544666254515;-17.42882967026812
7429306;43668.15280478015484;43684.22213397396990;-16.06932919380933
7429307;43671.82327614674432;43689.26964437420247;-17.44636822745874
7429308;43668.67008273294778;43684.74098275198776;-16.07090001904180
7429309;43668.69699672342540;43686.07342648116173;-17.37642975772786
7429310;43669.57231543973467;43685.63270008392283;-16.06038464418540
7429311;43670.32719100008399;43687.77232125042792;-17.44513025033709
7429312;43674.35284409131418;43690.36656319311442;-16.01371910179671
7429313;43675.37566215309926;43692.83510881577968;-17.45944666267770
7429314;43678.81166452742036;43694.91800169069029;-16.10633716326261
7429315;43677.03747666675918;43694.54513765841693;-17.50766099165333
7429316;43676.80598632294277;43692.89981460174022;-16.09382827880294
7429317;43671.43067013494147;43688.91168377827853;-17.48101364333741
7429318;43675.90243812014523;43692.02133167527063;-16.11889355513203
7429319;43675.05882951837702;43692.54898081201827;-17.49015129363610
7429320;43674.73814862062136;43690.81024853685085;-16.07209991622950
7429321;43672.64509902278223;43690.11352596282086;-17.46842694003251
7429322;43670.11690806384286;43686.19887266286969;-16.08196459903787
7429323;43667.50211927860073;43684.92631325777620;-17.42419397917057
